2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,0,0,9.09,0.08,0,0.08,0,0.24,0,0,0,0,0,3.07,0,12.32,0,0
0,0,0,0,7.2,0.28,0,0,0,0.08,0,0,0,0,0,10.79,0,12.05,0,0
0,0,0,0,5.83,1.26,0,0,0,0,0,0,0,0,0,9.65,0,11.61,0,0
0,0,0,0,3.9,3.66,0,0,0,0,0,0,0,0,0.2,6.93,0,10.16,0,0
0,0,0,0,1.85,4.84,0,0,0,0,0,0,0,0,0.16,6.54,0,8.19,0,0
0,0,0,,1.89,5.51,0,0,0.08,0,0,0,0,0,0,7.24,0,6.89,0,2.68
0,0,0,0,1.61,6.93,0,0,0.2,0,0,0,0,0,0.16,9.06,0,6.46,0.24,5.28
0,0,0,0,0,7.17,0,0,0.16,0,0,0,0,0,0,22.52,0,3.19,0.2,4.53
0,0,0,0,0,5.16,0,1.77,0,0,0,0,0,0,0,26.69,0,3.15,0.08,3.58
0,0,0.16,0,0,3.86,0,5.83,0,0,0,0,0,0,0,23.54,0,3.11,0,3.23
0,0,0,0,0,3.11,0,3.66,0,0,0,0,0,0,3.62,21.61,0,1.93,0,2.99
0,0,0,0,0,1.93,0,4.57,0,2.48,0,0,0,0,3.31,17.76,0,1.65,0,1.81
0,0,0,0.75,0,0.16,0,4.88,0,2.48,0,0,0,0,1.73,22.4,0,2.17,0.51,0.31
0,0,0,0.94,0,0,0,4.88,0,2.4,0,0,0,0,4.61,20.98,0,2.09,9.61,4.33
0,0,0,1.38,0,0,0,4.8,0,1.89,0,0,0,1.38,7.91,19.92,0,0.43,9.17,10.43
0,0,0,1.65,0,0,0,6.06,0,3.5,0,0,0,2.01,7.2,19.21,0,0.08,8.23,10.87
,0,0,1.97,0,0,0,12.87,0,3.03,0,0,0,2.72,7.52,19.09,0,0,7.56,7.01
0,0,0,2.05,0,0,0,12.01,1.73,2.95,0,0,0,2.6,8.46,25.35,0,0,6.73,6.14
0,0,0,2.4,0,0.59,0,11.42,1.54,2.64,0,0,0,4.49,9.33,29.29,0,0.59,3.86,7.48
0,0,0,2.6,0,0.31,0,10.94,1.85,0.94,0,0,0,6.18,9.06,31.26,0,0.67,0,15
0,0,0.24,4.92,0,0,0,10.75,3.66,0,0,0,0,6.1,8.23,29.53,0,0,0,16.81
0,0,0,5.79,0,0,0,10,5.2,0,0,0,0,5.35,9.09,28.23,0,0,0,12.44
0,0,0.39,4.53,0,0,0,9.45,7.76,0,0,0,0,3.94,9.92,27.13,0,0,0,12.01
0,0,0.67,2.28,0,0,0,9.37,7.52,0,0,0,0,2.01,10.16,26.06,0,0,0,11.3
0,0,0.67,0.04,0,0.98,0,8.66,3.7,0,0,0,0,2.99,9.8,24.88,0,0,0.2,15.91
0,0,2.48,0,0,0.63,0,5.98,0.71,0,0,0,0,5.75,9.21,24.92,0,1.38,0.12,15.47
0,0,2.48,0,0,0.71,0,5,0.55,0.98,0,0,0,7.95,7.83,24.17,0,2.13,0,14.65
0,0,2.6,0,0,0.71,0,5.08,1.22,0.63,0,0,0,4.49,5.63,24.09,0.24,2.28,0,17.24
0,0,3.7,0,0,0.91,0,4.72,0.2,0.31,0,0,0,0,1.73,23.62,0.51,1.81,0,16.65
0,0,8.03,0,0,1.89,0.91,3.7,0,0,0,0,0,0,0.16,22.99,0.51,8.39,0,12.09
0,0,8.35,0,0,2.01,1.61,3.07,0,0,0,0,0,0,0,22.24,0.04,7.8,0,11.38
0,0,7.64,0,0,1.26,0.75,2.72,0,0,0,0,0,0,0,20.91,0,6.93,0,11.06
0,0,7.36,0,0,0,0.71,2.6,0,0,0,0,0,0,0,19.96,0,5.55,0,8.66
0,0,8.46,0,,0,0.75,1.77,0,0,0,0,0,0,0,19.37,0,2.48,0,6.97
0,0,8.46,0,0,0,0.59,1.57,2.6,0,0,0,0,0,0,18.23,0.12,3.78,0,8.19
0,0,8.27,0,0.08,0,0,0.75,2.09,0,0,0,0,0,1.46,16.26,1.61,4.29,0,8.03
0,0,8.94,0,0.59,0,0,1.34,0,0,0,0,0,0,1.93,13.9,2.76,4.17,0,7.13
0,0,8.9,0,0.43,0,0,2.48,0,0,0,0,0,0,1.89,10.55,2.6,2.17,0,6.06
0,0,8.9,0,0,0,0,3.5,0,0,0,0,0,0,1.65,6.14,1.61,0,0,4.61
0,0,8.35,0,0,0,0,5.51,0.51,0,0,0,0,0,2.09,1.54,1.3,0,0,2.99
0,0,8.27,0,0,0,0,5.12,0.63,0,0,0,0,0,0.87,0,0.12,0,0,2.52
0,0,8.31,0,0.2,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,1.22
0,0,8.03,0,0,1.06,0,4.65,0,0.12,0,0,0,,1.38,0,0,0,0,0.12
0,0,6.81,0,0,1.02,0,4.21,0,0,0,0,0,,6.22,0,0,0,0,1.06
